EVENT_EXCESSIVE_SUBSTITUTION_TEAM,	{"team": Team},	過度な交代,	GameEvent.ExcessiveBot...																						
EVENT_DOUBLE_TOUCH_TEAM,	{"team": Team, "by_bot": Optional[int], "location": Location},	ダブルタッチ,	GameEvent.AttackerDouble...																						
EVENT_PLACEMENT_SUCCEEDED_TEAM,	{"team": Team, "time_taken": Optional[float], "precision": Optional[float], "distance": Optional[float]},	プレースメント成功,	GameEvent.PlacementSucceeded																						
EVENT_PENALTY_FAILED_TEAM,	{"team": Team, "location": Location, "reason": Optional[str]},	PK失敗,	GameEvent.PenaltyKickFailed																						
EVENT_NO_PROGRESS,	{"location": Location, "time": Optional[float]},	ゲーム停滞,	GameEvent.NoProgressInGame																						
EVENT_PLACEMENT_FAILED_TEAM,	{"team": Team, "remaining_distance": Optional[float]},	プレースメント失敗,	GameEvent.PlacementFailed																						
EVENT_MULTIPLE_CARDS_TEAM,	{"team": Team, "current_yellow_cards": int, "current_red_cards": int},	レッドカード発行,	TeamInfo																						
EVENT_MULTIPLE_FOULS_TEAM,	{"team": Team, "current_yellow_cards": int, "current_red_cards": int},	イエローカード発行,	TeamInfo																						
EVENT_BOT_SUBSTITUTION_START_TEAM,	{"team": Team, "substitutions_left": Optional[int]},	交代開始,	TeamInfo.bot_substitutions_left?																						
EVENT_TOO_MANY_ROBOTS_TEAM,	{"team": Team, "num_robots_allowed": Optional[int], "num_robots_on_field": Optional[int]},	ロボット数超過,	GameEvent.TooManyRobots																						
EVENT_CHALLENGE_FLAG_REQUESTED_TEAM,	{"team": Team},	チャレンジ要求受理,	GameEvent.ChallengeFlag																						
EVENT_CHALLENGE_FLAG_HANDLED_TEAM,	{"team": Team, "accepted": bool},	チャレンジ処理完了,	GameEvent.ChallengeFlagHandled																						
EVENT_EMERGENCY_STOP_TEAM,	{"team": Team},	緊急停止要求受理,	GameEvent.EmergencyStop																						
EVENT_UNSPORTING_BEHAVIOR_MINOR_TEAM,	{"team": Team, "reason": str, "current_yellow_cards": int, "current_red_cards": int},	軽微な反スポーツ的行為,	(GameEvent.Unsporting...,	TeamInfo)																						
EVENT_UNSPORTING_BEHAVIOR_MAJOR_TEAM,	{"team": Team, "reason": str, "current_yellow_cards": int, "current_red_cards": int},	重大な反スポーツ的行為,	(GameEvent.Unsporting...,	TeamInfo)																						
STATE_TIMEOUT_TAKEN_YELLOW/_BLUE,	{"team": Team, "timeouts_left": int, "timeout_time_left_us": int},	タイムアウト取得,	Referee.TeamInfo																						
